episode,timestep,reward
5529,1106000,-271.8067
5539,1108000,-244.8682
5549,1110000,-146.5793
5559,1112000,-261.4519
5569,1114000,-217.3527
5579,1116000,-267.7674
5589,1118000,-286.9538
5599,1120000,-312.345
5609,1122000,-215.7047
5619,1124000,-280.902
5629,1126000,-245.8957
5639,1128000,-236.3447
5649,1130000,-217.0124
5659,1132000,-192.669
5669,1134000,-255.9839
5679,1136000,-293.0321
5689,1138000,-205.4286
5699,1140000,-268.03
5709,1142000,-265.2907
5719,1144000,-256.8335
5729,1146000,-232.4661
5739,1148000,-311.2421
5749,1150000,-315.3842
5759,1152000,-301.8055
5769,1154000,-280.0968
5779,1156000,-244.4435
5789,1158000,-303.9876
5799,1160000,-227.4776
5809,1162000,-307.9725
5819,1164000,-222.046
5829,1166000,-309.3583
5839,1168000,-219.8419
5849,1170000,-182.8576
5859,1172000,-332.9856
5869,1174000,-217.2972
5879,1176000,-286.6698
5889,1178000,-172.6371
5899,1180000,-219.3471
5909,1182000,-172.42
5919,1184000,-243.8783
5929,1186000,-200.8623
5939,1188000,-298.8133
5949,1190000,-207.7509
5959,1192000,-277.8401
5969,1194000,-384.61
5979,1196000,-285.5938
5989,1198000,-253.6424
5999,1200000,-313.8201
6009,1202000,-324.1637
6019,1204000,-268.798
6029,1206000,-244.7309
6039,1208000,-327.5664
6049,1210000,-195.1536
6059,1212000,-224.854
6069,1214000,-194.0016
6079,1216000,-222.6095
6089,1218000,-158.674
6099,1220000,-276.4772
6109,1222000,-193.4872
6119,1224000,-256.0308
6129,1226000,-292.9748
6139,1228000,-205.8242
6149,1230000,-250.568
6159,1232000,-324.9026
6169,1234000,-270.3681
6179,1236000,-275.5511
6189,1238000,-331.9807
6199,1240000,-211.139
6209,1242000,-359.8258
6219,1244000,-160.0619
6229,1246000,-299.0753
6239,1248000,-254.7948
6249,1250000,-313.8964
6259,1252000,-194.3712
6269,1254000,-145.7103
6279,1256000,-308.0195
6289,1258000,-191.9474
6299,1260000,-246.7392
6309,1262000,-215.6462
6319,1264000,-269.2125
6329,1266000,-320.4364
6339,1268000,-253.7098
6349,1270000,-271.3774
6359,1272000,-368.8389
6369,1274000,-195.7452
6379,1276000,-222.9604
6389,1278000,-253.303
6399,1280000,-273.235
6409,1282000,-224.776
6419,1284000,-236.4783
6429,1286000,-274.0025
6439,1288000,-219.5661
6449,1290000,-210.7518
6459,1292000,-255.479
6469,1294000,-175.9947
6479,1296000,-181.6648
6489,1298000,-240.222
6499,1300000,-243.3405
6509,1302000,-194.7465
6519,1304000,-277.235
6529,1306000,-260.499
6539,1308000,-231.8031
6549,1310000,-233.4657
6559,1312000,-158.2213
6569,1314000,-243.967
6579,1316000,-248.2785
6589,1318000,-445.2982
6599,1320000,-293.2835
6609,1322000,-241.1033
6619,1324000,-300.2911
6629,1326000,-331.602
6639,1328000,-301.4609
6649,1330000,-256.243
6659,1332000,-291.541
6669,1334000,-288.8102
6679,1336000,-190.311
6689,1338000,-243.4379
6699,1340000,-219.2234
6709,1342000,-146.2743
6719,1344000,-252.5355
6729,1346000,-256.8076
6739,1348000,-229.3347
6749,1350000,-240.7373
6759,1352000,-308.957
6769,1354000,-246.0902
6779,1356000,-300.8233
6789,1358000,-257.6183
6799,1360000,-253.6119
6809,1362000,-234.5471
6819,1364000,-294.891
6829,1366000,-217.7882
6839,1368000,-230.9612
6849,1370000,-263.3582
6859,1372000,-206.6698
6869,1374000,-280.4333
6879,1376000,-264.8753
6889,1378000,-215.6861
6899,1380000,-294.1747
6909,1382000,-273.1578
6919,1384000,-219.7259
6929,1386000,-240.4704
6939,1388000,-192.9959
6949,1390000,-241.8794
6959,1392000,-289.2543
6969,1394000,-162.7995
6979,1396000,-170.9172
6989,1398000,-159.6867
6999,1400000,-227.3539
7009,1402000,-311.3775
7019,1404000,-237.0234
7029,1406000,-194.705
7039,1408000,-216.534
7049,1410000,-248.3725
7059,1412000,-272.571
7069,1414000,-262.1122
7079,1416000,-303.1332
7089,1418000,-265.3081
7099,1420000,-344.3557
7109,1422000,-212.6223
7119,1424000,-287.0744
7129,1426000,-303.3735
7139,1428000,-244.1567
7149,1430000,-255.3588
7159,1432000,-159.1198
7169,1434000,-240.7597
7179,1436000,-282.9036
7189,1438000,-245.6485
7199,1440000,-219.0874
7209,1442000,-211.2889
7219,1444000,-220.002
7229,1446000,-278.8049
7239,1448000,-304.7832
7249,1450000,-212.4887
7259,1452000,-278.8546
7269,1454000,-220.317
7279,1456000,-205.0641
7289,1458000,-299.0242
7299,1460000,-284.599
7309,1462000,-232.1756
7319,1464000,-232.362
7329,1466000,-330.0984
7339,1468000,-320.1241
7349,1470000,-228.9708
7359,1472000,-320.2068
7369,1474000,-291.8267
7379,1476000,-349.0774
7389,1478000,-288.596
7399,1480000,-307.3796
7409,1482000,-255.8172
7419,1484000,-259.6068
7429,1486000,-171.7944
7439,1488000,-260.8949
7449,1490000,-284.9037
7459,1492000,-265.8224
7469,1494000,-217.0779
7479,1496000,-196.0785
7489,1498000,-311.8356
7499,1500000,-280.8337
7509,1502000,-265.4828
7519,1504000,-275.1314
7529,1506000,-304.1369
7539,1508000,-245.3897
7549,1510000,-330.2966
7559,1512000,-266.4478
7569,1514000,-331.6445
7579,1516000,-248.3068
7589,1518000,-357.9115
7599,1520000,-231.3512
7609,1522000,-256.0277
7619,1524000,-158.5024
7629,1526000,-195.2962
7639,1528000,-432.3454
7649,1530000,-254.8007
7659,1532000,-317.0795
7669,1534000,-255.2748
7679,1536000,-167.2349
7689,1538000,-270.183
7699,1540000,-285.3312
7709,1542000,-133.3965
7719,1544000,-520.2757
7729,1546000,-216.3407
7739,1548000,-338.0563
7749,1550000,-231.6712
7759,1552000,-203.7684
7769,1554000,-264.0399
7779,1556000,-205.9791
7789,1558000,-246.7275
7799,1560000,-290.6519
7809,1562000,-172.8016
7819,1564000,-305.1797
7829,1566000,-170.2416
7839,1568000,-168.7973
7849,1570000,-278.8649
7859,1572000,-134.9842
7869,1574000,-220.3564
7879,1576000,-247.9866
7889,1578000,-331.8601
7899,1580000,-230.0829
7909,1582000,-283.7231
7919,1584000,-258.5747
7929,1586000,-245.1326
7939,1588000,-365.5382
7949,1590000,-227.0986
7959,1592000,-231.519
7969,1594000,-271.7499
7979,1596000,-255.6491
7989,1598000,-251.0543
7999,1600000,-332.1078
8009,1602000,-171.1142
8019,1604000,-242.3093
8029,1606000,-291.714
8039,1608000,-241.8069
8049,1610000,-146.5592
8059,1612000,-292.8696
8069,1614000,-259.4701
8079,1616000,-265.2317
8089,1618000,-243.2197
8099,1620000,-251.8224
8109,1622000,-206.9201
8119,1624000,-195.7964
8129,1626000,-181.4035
8139,1628000,-279.6101
8149,1630000,-223.761
8159,1632000,-230.8917
8169,1634000,-193.1162
8179,1636000,-376.3851
8189,1638000,-229.4532
8199,1640000,-252.9027
8209,1642000,-254.0529
8219,1644000,-296.4063
8229,1646000,-229.9548
8239,1648000,-196.2565
8249,1650000,-254.1842
8259,1652000,-248.5781
8269,1654000,-272.0855
8279,1656000,-326.4344
8289,1658000,-155.5035
8299,1660000,-298.9049
8309,1662000,-234.3952
8319,1664000,-198.0273
8329,1666000,-205.1762
8339,1668000,-274.0926
8349,1670000,-225.9702
8359,1672000,-266.9331
8369,1674000,-280.1516
8379,1676000,-244.712
8389,1678000,-252.9137
8399,1680000,-299.2034
8409,1682000,-292.6483
8419,1684000,-248.2434
8429,1686000,-232.9229
8439,1688000,-269.1737
8449,1690000,-158.7641
8459,1692000,-186.5701
8469,1694000,-415.1306
8479,1696000,-307.1517
8489,1698000,-197.585
8499,1700000,-217.0128
8509,1702000,-228.5853
8519,1704000,-219.3621
8529,1706000,-311.874
8539,1708000,-316.7737
8549,1710000,-294.5116
8559,1712000,-147.2662
8569,1714000,-264.2935
8579,1716000,-312.4675
8589,1718000,-324.2725
8599,1720000,-180.0817
8609,1722000,-278.7975
8619,1724000,-218.1276
8629,1726000,-255.8562
8639,1728000,-286.4822
8649,1730000,-182.0684
8659,1732000,-310.8941
8669,1734000,-295.1097
8679,1736000,-255.365
8689,1738000,-209.1083
8699,1740000,-214.9381
8709,1742000,-332.6281
8719,1744000,-196.1127
8729,1746000,-275.3319
8739,1748000,-285.9729
8749,1750000,-259.9572
8759,1752000,-218.8327
8769,1754000,-216.9107
8779,1756000,-323.166
8789,1758000,-255.3947
8799,1760000,-278.1939
8809,1762000,-299.6104
8819,1764000,-203.2654
8829,1766000,-198.4806
8839,1768000,-298.5025
8849,1770000,-294.8289
8859,1772000,-300.887
8869,1774000,-193.4057
8879,1776000,-321.3067
8889,1778000,-181.261
8899,1780000,-197.6292
8909,1782000,-331.1121
8919,1784000,-240.176
8929,1786000,-230.7216
8939,1788000,-227.9388
8949,1790000,-170.459
8959,1792000,-253.1679
8969,1794000,-211.528
8979,1796000,-296.7314
8989,1798000,-276.6273
8999,1800000,-304.811
9009,1802000,-242.8984
9019,1804000,-330.82
9029,1806000,-231.2546
9039,1808000,-345.2638
9049,1810000,-171.8007
9059,1812000,-300.9624
9069,1814000,-219.5447
9079,1816000,-291.2341
9089,1818000,-240.6187
9099,1820000,-235.3207
9109,1822000,-182.1257
9119,1824000,-300.6587
9129,1826000,-200.7273
9139,1828000,-181.9664
9149,1830000,-267.9844
9159,1832000,-171.3999
9169,1834000,-248.7658
9179,1836000,-303.052
9189,1838000,-230.0049
9199,1840000,-183.2636
9209,1842000,-258.0536
9219,1844000,-333.0762
9229,1846000,-277.2308
9239,1848000,-291.0366
9249,1850000,-229.8963
9259,1852000,-268.4996
9269,1854000,-147.8026
9279,1856000,-211.617
9289,1858000,-252.3913
9299,1860000,-172.7853
9309,1862000,-188.9908
9319,1864000,-273.4717
9329,1866000,-216.6633
9339,1868000,-403.294
9349,1870000,-367.4442
9359,1872000,-233.7804
9369,1874000,-217.6909
9379,1876000,-249.3623
9389,1878000,-282.3688
9399,1880000,-207.1093
9409,1882000,-379.5175
9419,1884000,-343.2469
9429,1886000,-293.1732
9439,1888000,-335.4608
9449,1890000,-241.4042
9459,1892000,-329.975
9469,1894000,-224.6706
9479,1896000,-171.0684
9489,1898000,-159.1573
9499,1900000,-439.9058
9509,1902000,-247.7372
9519,1904000,-484.1408
9529,1906000,-199.0889
9539,1908000,-266.0446
9549,1910000,-216.7234
9559,1912000,-230.9969
9569,1914000,-317.0929
9579,1916000,-318.1907
9589,1918000,-159.2667
9599,1920000,-256.6586
9609,1922000,-219.5118
9619,1924000,-489.8093
9629,1926000,-228.5274
9639,1928000,-205.5902
9649,1930000,-294.1603
9659,1932000,-332.2289
9669,1934000,-304.9144
9679,1936000,-255.8079
9689,1938000,-182.0074
9699,1940000,-265.6961
9709,1942000,-219.5792
9719,1944000,-207.7418
9729,1946000,-194.0528
9739,1948000,-216.1114
9749,1950000,-342.9798
9759,1952000,-195.2174
9769,1954000,-270.3925
9779,1956000,-309.717
9789,1958000,-209.6925
9799,1960000,-318.4364
9809,1962000,-396.4633
9819,1964000,-275.6906
9829,1966000,-255.9362
9839,1968000,-316.2561
9849,1970000,-258.8898
9859,1972000,-274.6485
9869,1974000,-238.4092
9879,1976000,-172.9253
9889,1978000,-257.1533
9899,1980000,-244.2516
9909,1982000,-267.4872
9919,1984000,-228.3681
9929,1986000,-217.019
9939,1988000,-208.6597
9949,1990000,-230.6141
9959,1992000,-228.004
9969,1994000,-265.8362
9979,1996000,-207.5606
9989,1998000,-217.1585
9999,2000000,-263.5126
10009,2002000,-239.875
10019,2004000,-170.1264
10029,2006000,-258.4471
10039,2008000,-229.8441
10049,2010000,-311.4204
10059,2012000,-262.0021
10069,2014000,-341.3654
10079,2016000,-342.1805
10089,2018000,-207.711
10099,2020000,-292.0077
10109,2022000,-215.9681
10119,2024000,-254.3376
10129,2026000,-278.9144
10139,2028000,-281.1328
10149,2030000,-368.3466
10159,2032000,-231.3892
10169,2034000,-301.052
10179,2036000,-295.6907
10189,2038000,-232.145
10199,2040000,-218.3445
10209,2042000,-281.7181
10219,2044000,-232.0159
10229,2046000,-250.3054
10239,2048000,-284.1297
10249,2050000,-314.5603
10259,2052000,-240.8859
10269,2054000,-321.6107
10279,2056000,-219.6683
